,Fabricante,Modelo,Versao,Valor,Cidade,Ano,Combustível,Placa final,KM,Câmbio,Cor,Carroceria,Airbag motorista,Ar-condicionado,Direção hidráulica,Vidros elétricos dianteiros,Travas elétricas,Retrovisores elétricos,Alarme,Freios abs,Airbag duplo frontal,Limpador traseiro,Desembaçador traseiro,Câmbio automático,Computador de bordo,Vidros elétricos traseiros,Sensor de estacionamento dianteiro,Farol de neblina,Baixa quilometragem,Único dono,Ipva pago,Motorização,Potência (cv),Torque (kgf.m),Velocidade máxima (km/h),Tempo 0-100 (s),Consumo cidade (km/l),Consumo estrada (km/l),Tração,Direção,Suspensão dianteira,Suspensão traseira,Freios dianteiros,Freios traseiros,Altura (mm),Largura (mm),Comprimento (mm),Peso (kg),Tanque (L),Entre-eixos (mm),Porta-Malas (L),Ocupantes,Airbags laterais,Distribuição eletrônica de frenagem (ebd),Direção elétrica,Trio elétrico,Volante com regulagem de altura,Volante multifuncional,Central multimídia,Entradas usb,Rádio,Piloto automático adaptativo (acc),Rodas de liga leve,Sensor de farol,Airbags de cortina,Brake light,Cintos três-pontos para todos os ocupantes,Controle de tração,Controle eletrônico de estabilidade (esc),Frenagem autônoma de emergência (aeb),Sensor de estacionamento traseiro,Acendimento automático dos faróis,Ar quente,Banco traseiro bipartido,Banco traseiro rebatível,Chave presencial,Encostos de cabeça no banco traseiro,Luz de cortesia no porta-luvas,Luz de cortesia no porta-malas,Regulagem de altura do facho dos faróis,Saídas de ar-condicionado na segunda fileira,Volante com regulagem de altura e profundidade,Bluetooth,Banco do motorista com regulagem de altura,Bancos de couro,Ajuste elétrico dos retrovisores,Assistente de subida em rampa,Carregador de celular por indução,Câmera de ré,Espelhamento de celular,Fixação para cadeirinhas infantis (isofix),Luz de condução diurna (drl),Start-stop,Retrovisores com rebatimento elétrico,Tração 4x4,Adaptado para pcd,Kit visibilidade,Aceita troca,Cd player,Airbag central,Nenhuma batida,Parece novo,Pneus novos,Veículo de não fumante,Revisões realizadas,Pronta entrega,Laudo cautelar aprovado,Licenciado esse ano,Possui vistoria,Retrovisor interno eletrocrômico,Ar-condicionado digital,Faróis de led,Limitador de velocidade,Gps,Sensor de chuva,Teto solar,Cd player com mp3,Saldão,Possui multas,Porta-copos,Aerofólio,Garantia de fábrica,Protetor de caçamba,Capota marítima,Wi-fi,Volante com acabamento em couro,Alerta de cinto para condutor,Alerta de cinto para passageiro da primeira fila,Ar-condicionado digital de 2 zonas,7 lugares,Garantia de 1 ano,Assistente de descida,Para-choque na cor do veículo,Cluster digital,Computador de bordo digital,Chave canivete,Descanso de braço na primeira fileira,Tração dianteira,Vidros elétricos traseiros one touch,Vidros elétricos dianteiros one touch,Pneus de uso misto,Encomenda,Vidros elétricos dianteiros antiesmagamento,Vidros elétricos traseiros antiesmagamento,Airbag de joelho,Airbag de capô,Android auto sem fio,Apple carplay,Apple carplay sem fio,Câmera 360º,Seta no retrovisor,Sistema de conectividade,Rodas de aço com calotas,Android auto,Teto panorâmico,Kit multimídia com tv,Banco do motorista com aquecimento,Toca fitas,Mylink
10,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),R$ 113.000,Salvador - BA,2022/2022,Flex,3,20.959,,Preto,SUV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,,,Disco ventilado,,1568,1760,4199,1250,52,2651,420,5,Sim,,,,,Sim,,Sim,Sim,,,,Sim,,Sim,Sim,Sim,,Sim,,Sim,,,Sim,Sim,,,,,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Volkswagen,Voyage,1.0 MPI (Flex),R$ 63.900,Salvador - BA,2022/2023,Flex,7,16.468,,Branco,Sedan,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,,Sim,,Sim,Sim,,,Sim,Sim,Sim,1.0,84 (E) / 77 (G),10.3 (E) / 9.6 (G),164 (E) / 162 (G),13.4 (E) / 13.7 (G),8.9 (E) / 13.4 (G),10.6 (E) / 15.6 (G),Dianteira,Hidráulica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco ventilados,Tambor ,1464,1656,4213,1015,55,2467,480,5,,,,,,,,Sim,Sim,,,,,,Sim,,,,,,Sim,,Sim,,Sim,,Sim,,,,,Sim,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Volkswagen,T-Cross,1.0 200 TSI 12V (Aut) (Flex),R$ 89.900,Salvador - BA,2019/2020,Flex,5,28.301,,Preto,SUV,Sim,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,,Sim,Sim,Sim,Sim,1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),193 (E),10.2 (E),N/C,N/C,dianteira,,,,Dois freios à disco com dois discos ventilados,,1568,1760,4199,1250,,2651,420,5,Sim,,Sim,,Sim,Sim,,Sim,Sim,,Sim,,Sim,,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Volkswagen,Voyage,1.0 MPI (Flex),R$ 63.900,Salvador - BA,2022/2023,Flex,6,19.007,,Branco,Sedan,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,,Sim,,Sim,Sim,,,Sim,Sim,Sim,1.0,84 (E) / 77 (G),10.3 (E) / 9.6 (G),164 (E) / 162 (G),13.4 (E) / 13.7 (G),8.9 (E) / 13.4 (G),10.6 (E) / 15.6 (G),Dianteira,Hidráulica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal",Suspensão tipo eixo de torção e molas helicoidal,Dois freios à disco ventilados,Tambor ,1464,1656,4213,1015,55,2467,480,5,,,,,,,,Sim,,,,,,,Sim,,,,,,Sim,,Sim,,Sim,,Sim,,,,,Sim,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Volkswagen,T-Cross,1.4 TSI Highline (Aut) (Flex),R$ 121.900,Salvador - BA,2021/2022,Flex,8,14.351,,Preto,SUV,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,250 TSI 1.4,150 (E) / 150 (G),25.492905 (E) / 25.492905 (G),198 (E) / 198 (G),8.7 (E) / 8.7 (G),7.7 (E) / 11 (G),9.3 (E) / 13.2 (G),dianteira,Elétrica,,,Dois freios à disco com dois discos ventilados,,1568,1760,4199,1250,52,2651,420,5,Sim,,,,,Sim,,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Volkswagen,T-Cross,1.4 TSI Highline (Aut) (Flex),R$ 108.900,Salvador - BA,2020/2021,Flex,1,35.395,,Azul,SUV,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,250 TSI 1.4,150 (E) / 150 (G),25.492905 (E) / 25.492905 (G),198 (E) / 198 (G),8.7 (E) / 8.7 (G),7.7 (E) / 11 (G),9.3 (E) / 13.2 (G),dianteira,Elétrica,,,Dois freios à disco com dois discos ventilados,,1568,1760,4199,1250,52,2651,420,5,Sim,,Sim,,Sim,Sim,,Sim,Sim,,Sim,,Sim,,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),R$ 113.000,Salvador - BA,2021/2022,Flex,5,22.930,,Branco,SUV,Sim,Sim,,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,,,Disco ventilado,,1568,1760,4199,1250,52,2651,420,5,Sim,,,,,Sim,,Sim,Sim,,Sim,,Sim,,Sim,Sim,Sim,,Sim,,Sim,,,Sim,Sim,,,,,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Volkswagen,T-Cross,1.0 200 TSI 12V (Aut) (Flex),R$ 99.900,Salvador - BA,2021/2022,Flex,2,10.752,,Preto,SUV,Sim,,,Sim,Sim,,,Sim,Sim,,,Sim,,Sim,,,Sim,Sim,Sim,1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),193 (E),10.2 (E),N/C,N/C,dianteira,,,,Dois freios à disco com dois discos ventilados,,1568,1760,4199,1250,,2651,420,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Volkswagen,Nivus,Comfortline 1.0 Turbo (Aut) (Flex),R$ 94.900,Salvador - BA,2021/2021,Flex,5,28.269,,Prata,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,1.0 Turbo,128 (E) / 116 (G),20.4 (E) / 20.4 (G),189 (E) / 184 (G),10 (E) / 10.5 (G),N/C,N/C,Dianteira,Elétrica,McPherson,Eixo de torção,Disco ventilado,Disco,1757,1493,4266,1199,52,2566,415,5,Sim,,,,,Sim,,Sim,Sim,,Sim,,Sim,,Sim,Sim,Sim,,Sim,,Sim,Sim,Sim,,,,,,,Sim,Sim,Sim,,,Sim,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Volkswagen,Taos,Comfortline 1.4 TSI (Aut) (Flex),R$ 135.900,Salvador - BA,2021/2022,Flex,5,12.176,,Preto,SUV,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,1.4 TSI,150 (E) / 150 (G),25.5 (E) / 25.5 (G),194 (E) / 194 (G),9.3 (E) / 9.3 (G),7.6 (E) / 10.9 (G),9.1 (E) / 13 (G),Dianteira,Elétrica,"Suspensão independente, braços sobrepostos e mola helicoidal.",Suspensão tipo eixo de torção e molas helicoidal.,Discos ventilados,Discos sólidos,1626,1841,2680,1420,51,2680,498,5,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
