Marca,Código Marca,Modelo,Código Modelo,Ano,Código Ano
Fiat,21,ARGO PRECISION 1.8 16V Flex Mec.,7970,2018 Gasolina,2018-1
Fiat,21,ARGO TREKKING 1.3 8V Flex,8690,32000 Gasolina,32000-1
Fiat,21,ARGO TREKKING 1.3 8V Flex,8690,2025 Gasolina,2025-1
Fiat,21,ARGO TREKKING 1.3 8V Flex,8690,2024 Gasolina,2024-1
Fiat,21,ARGO TREKKING 1.3 8V Flex,8690,2023 Gasolina,2023-1
Fiat,21,ARGO TREKKING 1.3 8V Flex,8690,2022 Gasolina,2022-1
Fiat,21,ARGO TREKKING 1.3 8V Flex,8690,2021 Gasolina,2021-1
Fiat,21,ARGO TREKKING 1.3 8V Flex,8690,2020 Gasolina,2020-1
Fiat,21,ARGO TREKKING 1.3 8V Flex Aut.,10393,32000 Gasolina,32000-1
Fiat,21,ARGO TREKKING 1.3 8V Flex Aut.,10393,2025 Gasolina,2025-1
Fiat,21,ARGO TREKKING 1.3 8V Flex Aut.,10393,2024 Gasolina,2024-1
Fiat,21,ARGO TREKKING 1.3 8V Flex Aut.,10393,2023 Gasolina,2023-1
Fiat,21,ARGO TREKKING 1.8 16V Flex Aut.,8947,2021 Gasolina,2021-1
Fiat,21,ARGO TREKKING 1.8 16V Flex Aut.,8947,2020 Gasolina,2020-1
Fiat,21,Brava ELX  1.6 16V 4p,440,2003 Gasolina,2003-1
Fiat,21,Brava ELX  1.6 16V 4p,440,2002 Gasolina,2002-1
Fiat,21,Brava ELX  1.6 16V 4p,440,2001 Gasolina,2001-1
Fiat,21,Brava ELX  1.6 16V 4p,440,2000 Gasolina,2000-1
Fiat,21,Brava HGT 1.8 mpi 16V  4p,441,2003 Gasolina,2003-1
Fiat,21,Brava HGT 1.8 mpi 16V  4p,441,2002 Gasolina,2002-1
Fiat,21,Brava HGT 1.8 mpi 16V  4p,441,2001 Gasolina,2001-1
Fiat,21,Brava HGT 1.8 mpi 16V  4p,441,2000 Gasolina,2000-1
Fiat,21,Brava SX 1.6 16V 4p,442,2003 Gasolina,2003-1
Fiat,21,Brava SX 1.6 16V 4p,442,2002 Gasolina,2002-1
Fiat,21,Brava SX 1.6 16V 4p,442,2001 Gasolina,2001-1
Fiat,21,Brava SX 1.6 16V 4p,442,2000 Gasolina,2000-1
Fiat,21,Bravo ABSOLUTE 1.8 Flex 16V 5p,5446,2012 Gasolina,2012-1
Fiat,21,Bravo ABSOLUTE 1.8 Flex 16V 5p,5446,2011 Gasolina,2011-1
Fiat,21,Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p,5447,2014 Gasolina,2014-1
Fiat,21,Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p,5447,2013 Gasolina,2013-1
Fiat,21,Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p,5447,2012 Gasolina,2012-1
Fiat,21,Bravo ABSOLUTE Dualogic 1.8 Flex 16V 5p,5447,2011 Gasolina,2011-1
Fiat,21,Bravo BlackMotion 1.8 Dualogic Flex 5p,7132,2016 Gasolina,2016-1
Fiat,21,Bravo BlackMotion 1.8 Dualogic Flex 5p,7132,2015 Gasolina,2015-1
Fiat,21,Bravo BlackMotion 1.8 Flex 16v 5p,7133,2016 Gasolina,2016-1
Fiat,21,Bravo BlackMotion 1.8 Flex 16v 5p,7133,2015 Gasolina,2015-1
Fiat,21,Bravo ESSENCE 1.8 Flex 16V 5p,5448,2016 Gasolina,2016-1
Fiat,21,Bravo ESSENCE 1.8 Flex 16V 5p,5448,2015 Gasolina,2015-1
Fiat,21,Bravo ESSENCE 1.8 Flex 16V 5p,5448,2014 Gasolina,2014-1
Fiat,21,Bravo ESSENCE 1.8 Flex 16V 5p,5448,2013 Gasolina,2013-1
Fiat,21,Bravo ESSENCE 1.8 Flex 16V 5p,5448,2012 Gasolina,2012-1
Fiat,21,Bravo ESSENCE 1.8 Flex 16V 5p,5448,2011 Gasolina,2011-1
Fiat,21,Bravo ESSENCE Dualogic 1.8 Flex 16V 5p,5449,2016 Gasolina,2016-1
Fiat,21,Bravo ESSENCE Dualogic 1.8 Flex 16V 5p,5449,2015 Gasolina,2015-1
Fiat,21,Bravo ESSENCE Dualogic 1.8 Flex 16V 5p,5449,2014 Gasolina,2014-1
Fiat,21,Bravo ESSENCE Dualogic 1.8 Flex 16V 5p,5449,2013 Gasolina,2013-1
Fiat,21,Bravo ESSENCE Dualogic 1.8 Flex 16V 5p,5449,2012 Gasolina,2012-1
Fiat,21,Bravo ESSENCE Dualogic 1.8 Flex 16V 5p,5449,2011 Gasolina,2011-1
Fiat,21,Bravo SPORTING 1.8 Dualogic Flex 16V 5p,6051,2016 Gasolina,2016-1
Fiat,21,Bravo SPORTING 1.8 Dualogic Flex 16V 5p,6051,2015 Gasolina,2015-1
Fiat,21,Bravo SPORTING 1.8 Dualogic Flex 16V 5p,6051,2014 Gasolina,2014-1
Fiat,21,Bravo SPORTING 1.8 Dualogic Flex 16V 5p,6051,2013 Gasolina,2013-1
Fiat,21,Bravo SPORTING 1.8 Flex 16V 5p,6052,2016 Gasolina,2016-1
Fiat,21,Bravo SPORTING 1.8 Flex 16V 5p,6052,2015 Gasolina,2015-1
Fiat,21,Bravo SPORTING 1.8 Flex 16V 5p,6052,2014 Gasolina,2014-1
Fiat,21,Bravo SPORTING 1.8 Flex 16V 5p,6052,2013 Gasolina,2013-1
Fiat,21,Bravo SX 1.6,443,1999 Gasolina,1999-1
Fiat,21,Bravo SX 1.6,443,1998 Gasolina,1998-1
Fiat,21,Bravo T-JET 1.4 16V Turbo 5p,5591,2016 Gasolina,2016-1
Fiat,21,Bravo T-JET 1.4 16V Turbo 5p,5591,2015 Gasolina,2015-1
Fiat,21,Bravo T-JET 1.4 16V Turbo 5p,5591,2014 Gasolina,2014-1
Fiat,21,Bravo T-JET 1.4 16V Turbo 5p,5591,2013 Gasolina,2013-1
Fiat,21,Bravo T-JET 1.4 16V Turbo 5p,5591,2012 Gasolina,2012-1
Fiat,21,Bravo T-JET 1.4 16V Turbo 5p,5591,2011 Gasolina,2011-1
Fiat,21,Bravo WOLVERINE 1.8 Dualogic Flex 16V 5p,6515,2014 Gasolina,2014-1
Fiat,21,Bravo WOLVERINE 1.8 Flex 16V 5p,6516,2014 Gasolina,2014-1
Fiat,21,Cinquecento 0.7,444,1995 Gasolina,1995-1
Fiat,21,Coupe 16V,445,1997 Gasolina,1997-1
Fiat,21,Coupe 16V,445,1996 Gasolina,1996-1
Fiat,21,Coupe 16V,445,1995 Gasolina,1995-1
Fiat,21,CRONOS 1.0 6V Flex,9988,32000 Gasolina,32000-1
Fiat,21,CRONOS 1.0 6V Flex,9988,2023 Gasolina,2023-1
Fiat,21,CRONOS 1.3 8V Flex,8199,2022 Gasolina,2022-1
Fiat,21,CRONOS 1.3 8V Flex,8199,2021 Gasolina,2021-1
Fiat,21,CRONOS 1.3 8V Flex,8199,2020 Gasolina,2020-1
Fiat,21,CRONOS 1.3 8V Flex,8199,2019 Gasolina,2019-1
Fiat,21,CRONOS 1.8 16V Flex Aut. ,9590,2021 Gasolina,2021-1
Fiat,21,CRONOS 1.8 16V Flex Aut. ,9590,2020 Gasolina,2020-1
Fiat,21,CRONOS DRIVE 1.0 6V Flex,9989,32000 Gasolina,32000-1
Fiat,21,CRONOS DRIVE 1.0 6V Flex,9989,2025 Gasolina,2025-1
Fiat,21,CRONOS DRIVE 1.0 6V Flex,9989,2024 Gasolina,2024-1
Fiat,21,CRONOS DRIVE 1.0 6V Flex,9989,2023 Gasolina,2023-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex,8200,32000 Gasolina,32000-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex,8200,2025 Gasolina,2025-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex,8200,2024 Gasolina,2024-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex,8200,2023 Gasolina,2023-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex,8200,2022 Gasolina,2022-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex,8200,2021 Gasolina,2021-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex,8200,2020 Gasolina,2020-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex,8200,2019 Gasolina,2019-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex,8200,2018 Gasolina,2018-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex Aut.,9990,32000 Gasolina,32000-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex Aut.,9990,2025 Gasolina,2025-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex Aut.,9990,2024 Gasolina,2024-1
Fiat,21,CRONOS DRIVE 1.3 8V Flex Aut.,9990,2023 Gasolina,2023-1
Fiat,21,CRONOS DRIVE 1.8 16V Flex Aut.,8518,2021 Gasolina,2021-1
Fiat,21,CRONOS DRIVE 1.8 16V Flex Aut.,8518,2020 Gasolina,2020-1
Fiat,21,CRONOS DRIVE 1.8 16V Flex Aut.,8518,2019 Gasolina,2019-1
Fiat,21,CRONOS DRIVE GSR 1.3 8V Flex,8201,2020 Gasolina,2020-1
Fiat,21,CRONOS DRIVE GSR 1.3 8V Flex,8201,2019 Gasolina,2019-1
Fiat,21,CRONOS DRIVE GSR 1.3 8V Flex,8201,2018 Gasolina,2018-1
Fiat,21,CRONOS HGT 1.8 16V Flex Aut.,8778,2021 Gasolina,2021-1
Fiat,21,CRONOS HGT 1.8 16V Flex Aut.,8778,2020 Gasolina,2020-1
Fiat,21,CRONOS PRECISION 1.3 8V Flex Aut.,10394,32000 Gasolina,32000-1
Fiat,21,CRONOS PRECISION 1.3 8V Flex Aut.,10394,2025 Gasolina,2025-1
Fiat,21,CRONOS PRECISION 1.3 8V Flex Aut.,10394,2024 Gasolina,2024-1
