Unnamed: 0,URL,Fabricante,Modelo,Versao,Modelo_FIPE,Valor,Cidade,Ano,Combustível,Placa final,KM,Câmbio,Cor,Carroceria,Production year,Model year
32,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/cronos/2019/1-3-drive-firefly-gsr-flex/detalhes/16646160?page=detail,Fiat,Cronos,1.3 Drive Firefly GSR (Flex),Cronos 1.3 Drive Firefly GSR (Flex),62900,Salvador - BA,2019/2019,Flex,0,80.0,Automática,Branco,Sedan,2019,2019
33,https://www.mobiauto.com.br/comprar/carros/ba-salvador/chevrolet/onix/2023/lt-1-0/detalhes/16629832?page=detail,Chevrolet,Onix,LT 1.0,Onix LT 1.0,70900,Salvador - BA,2023/2023,Flex,3,67.0,Manual,Branco,Hatch,2023,2023
34,https://www.mobiauto.com.br/comprar/carros/ba-salvador/hyundai/creta/2023/limited-1-0-turbo-aut-flex/detalhes/16414785?page=detail,Hyundai,Creta,Limited 1.0 Turbo (Aut) (Flex),Creta Limited 1.0 Turbo (Aut) (Flex),123900,Salvador - BA,2022/2023,Flex,2,39.2,Automática,Azul,SUV,2022,2023
35,https://www.mobiauto.com.br/comprar/carros/ba-salvador/jeep/compass/2022/80-anos-1-3-t270-aut-flex/detalhes/16305317?page=detail,Jeep,Compass,80 anos 1.3 T270 (Aut) (Flex),Compass 80 anos 1.3 T270 (Aut) (Flex),142900,Salvador - BA,2022/2022,Flex,0,56.0,Automática,Branco,SUV,2022,2022
36,https://www.mobiauto.com.br/comprar/carros/ba-salvador/chevrolet/tracker/2021/ltz-1-0-turbo-aut-flex/detalhes/13118331?page=detail,Chevrolet,Tracker,LTZ 1.0 Turbo (Aut) (Flex),Tracker LTZ 1.0 Turbo (Aut) (Flex),99900,Salvador - BA,2021/2021,Flex,5,63.0,Automática,Prata,Não,2021,2021
37,https://www.mobiauto.com.br/comprar/carros/ba-paulo-afonso/ford/fiesta-hatch/2014/s-plus-1-0-rocam-flex/detalhes/4201634?page=detail,Ford,Fiesta Hatch,S Plus 1.0 RoCam (Flex),Fiesta Hatch S Plus 1.0 RoCam (Flex),25000,Paulo Afonso - BA,2014/2014,Flex,9,100.0,Manual,Branco,Hatch,2014,2014
38,https://www.mobiauto.com.br/comprar/carros/ba-paulo-afonso/peugeot/308/2014/allure-2-0-16v-flex/detalhes/4197313?page=detail,Peugeot,308,Allure 2.0 16v (Flex),308 Allure 2.0 16v (Flex),44500,Paulo Afonso - BA,2014/2014,Flex,0,61.0,Automática,Branco,Hatch,2014,2014
39,https://www.mobiauto.com.br/comprar/carros/ba-salvador/citroen/aircross/2019/1-6-16v-live-flex/detalhes/19774102?page=detail,Citroën,Aircross,1.6 16V Live (Flex),Aircross 1.6 16V Live (Flex),56890,Salvador - BA,2019/2019,Flex,4,69.0,Manual,Marrom,Monovolume,2019,2019
40,https://www.mobiauto.com.br/comprar/carros/ba-salvador/ford/ka/2020/1-0-freestyle-flex/detalhes/19735004?page=detail,Ford,Ka,1.0 Freestyle (Flex),Ka 1.0 Freestyle (Flex),49900,Salvador - BA,2020/2020,Flex,2,120.65,Manual,Branco,Hatch,2020,2020
41,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/argo/2021/drive-1-0-flex/detalhes/19719862?page=detail,Fiat,Argo,Drive 1.0 (Flex),Argo Drive 1.0 (Flex),62900,Salvador - BA,2020/2021,Flex,3,49.0,Manual,Branco,Hatch,2020,2021
42,https://www.mobiauto.com.br/comprar/carros/ba-salvador/renault/sandero/2016/authentique-plus-hi-power-1-0-16v-flex/detalhes/19717006?page=detail,Renault,Sandero,Authentique Plus Hi-Power 1.0 16V (Flex),Sandero Authentique Plus Hi-Power 1.0 16V (Flex),36900,Salvador - BA,2015/2016,Flex,1,79.0,Manual,Branco,Hatch,2015,2016
43,https://www.mobiauto.com.br/comprar/carros/ba-salvador/renault/logan/2016/expression-1-0-16v-flex/detalhes/19503419?page=detail,Renault,Logan,Expression 1.0 16V (flex),Logan Expression 1.0 16V (flex),38900,Salvador - BA,2015/2016,Flex,3,115.0,Manual,Vermelho,Sedan,2015,2016
44,https://www.mobiauto.com.br/comprar/carros/ba-salvador/ford/ranger-cabine-dupla/2012/ranger-xls-4x2-3-0-cab-dupla/detalhes/19476371?page=detail,Ford,Ranger Cabine Dupla,Ranger XLS 4x2 3.0 (Cab Dupla),Ranger Cabine Dupla Ranger XLS 4x2 3.0 (Cab Dupla),69900,Salvador - BA,2011/2012,Diesel,5,164.583,Manual,Branco,Picapes,2011,2012
45,https://www.mobiauto.com.br/comprar/carros/ba-salvador/hyundai/hb20/2017/1-0-comfort-flex/detalhes/19577713?page=detail,Hyundai,HB20,1.0 Comfort (Flex),HB20 1.0 Comfort (Flex),49900,Salvador - BA,2016/2017,Flex,4,70.0,Manual,Branco,Hatch,2016,2017
46,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/amarok/2023/extreme-3-0-cd-4x4-tdi-aut/detalhes/19569710?page=detail,Volkswagen,Amarok,Extreme 3.0 CD 4x4 TDi (Aut),Amarok Extreme 3.0 CD 4x4 TDi (Aut),209990,Salvador - BA,2023/2023,Diesel,0,65.0,Automática,Branco,Picapes,2023,2023
