,Fabricante,Modelo,Versao,Valor,Cidade,Combustível,KM,Câmbio,Cor,Carroceria,Desembaçador do vidro traseiro,Computador de bordo,Aceita troca,Pronta entrega,Motorização,Potência (cv),Torque (kgf.m),Velocidade máxima (km/h),Tempo 0-100 (s),Consumo cidade (km/l),Consumo estrada (km/l),Tração,Direção,Suspensão dianteira,Suspensão traseira,Freios dianteiros,Freios traseiros,Altura (mm),Largura (mm),Comprimento (mm),Peso (kg),Tanque (L),Entre-eixos (mm),Porta-Malas (L),Ocupantes,Desembaçador traseiro,Airbag para motorista,Direção elétrica,Volante multifuncional,Airbag central,Ar condicionado digital,Veículo de não fumante,Revisões realizadas,Laudo cautelar aprovado,Possui vistoria,Ar condicionado,Controle elétrico do vidros dianteiros,Travas elétricas,Retrovisores elétricos,Alarme,Freios abs,Bancos revestidos de couro,Airbags frontais,Rodas de liga leve,Piloto automático adaptativo,Airbags laterais,Controle elétrico do vidros traseiros,Distribuição eletrônica de frenagem (ebd),Volante com ajuste de altura,Conexão usb,Rádio,Sensores de estacionamento dianteiro,Faróis de neblina,Central multimídia,Nenhuma batida,Único dono,Pneus novos,Airbag duplo frontal,Airbag motorista,Ar-condicionado,Volante com regulagem de altura,Entradas usb,Bancos de couro,Vidros elétricos dianteiros,Vidros elétricos traseiros,Farol de neblina,Piloto automático adaptativo (acc),Sensor de estacionamento dianteiro,Direção hidráulica,Limpador do vidro traseiro,Cd player,Ar quente,Banco do motorista com ajuste de altura,Brake light,Conexão bluetooth,Parece novo,Limpador traseiro,Trio elétrico,Sistema star-stop,Ajuste elétrico dos retrovisores,Ipva pago,Saldão,Aerofólio,Alerta de cinto para passageiro da primeira fila,Baixa quilometragem,Licenciado esse ano,Isofix para fixação de cadeira infantil,Banco traseiro bipartido,Banco traseiro rebatível,Cintos de três pontos para todos os ocupantes,Encosto de cabeça para todos os ocupantes,Cintos três-pontos para todos os ocupantes,Encostos de cabeça no banco traseiro,Fixação para cadeirinhas infantis (isofix),Kit visibilidade,Controle de tração,Câmera de ré,Assistente de partida em rampa,Apple carplay,Limitador de velocidade,Alerta de cinto para condutor,Controle eletrônico de estabilidade,Luz no porta-luvas,Volante com ajuste de profundidade,Controle eletrônico de estabilidade (esc),Luz de cortesia no porta-luvas,Volante com regulagem de altura e profundidade,Banco do motorista com regulagem de altura,Assistente de subida em rampa,Start-stop,Garantia de fábrica,Sensor de chuva,Sensor de farol,Cd player com mp3,Tração 4x4,Adaptado para pcd,Sensores de estacionamento traseiro,Acendimento automático dos faróis,Teto solar,Rodas de aço com calotas,Protetor de caçamba,Chave canivete,Garantia de 1 ano,Sensor de estacionamento traseiro,Bluetooth,Navegador gps,Airbags de cortina,Alerta de mudança de faixa,Frenagem autônoma de emergência,Controle automático de descida,Roteador wi-fi,Luz de condução diurna,Espelhamento da tela do celular,Retrovisores rebatíveis eletricamente,Retrovisor interno fotocrômico,Assistente de descida,Frenagem autônoma de emergência (aeb),Retrovisor interno eletrocrômico,Retrovisores com rebatimento elétrico,Espelhamento de celular,Gps,Luz de condução diurna (drl),Wi-fi,Chave presencial,Luz no porta-malas,Luz de cortesia no porta-malas,Para-choque na cor do veículo,Entrada usb no banco de trás,Tração dianteira,Friso lateral,Porta-copos,Assistente de permanência em faixa,Alerta de ponto cego,Android auto sem fio,Faróis de led,Carregador de celular por indução,Apoio de braço para o motorista,Assistente de manutenção de faixa,Descanso de braço na primeira fileira,Android auto,Vidros elétricos dianteiros one touch,Estepe integral,Mylink,Sistema de conectividade veicular,Possui multas,Volante com acabamento em couro,Encomenda,Capota marítima,Sensor crepuscular,Tração 4x4 reduzida,Tração traseira,Vidros elétricos dianteiros antiesmagamento,Vidros elétricos traseiros one touch,Vidros elétricos traseiros antiesmagamento,Seta no retrovisor,Troca de marchas no volante,Auto hold,Sensor de estacionamento lateral,Saídas de ar condicionado na segunda fileira,Sistema de conectividade,Câmera 360°,Partida por botão,Terceira fileira de bancos,7 lugares,Airbags traseiros,Farol alto automático,Computador de bordo digital,Alerta de cinto para todos os ocupantes	,Ar condicionado digital de 2 zonas,Reconhecimento de placas de trânsito,Pneus de uso misto,Blindagem,Kit multimídia com tv,Banco do motorista com aquecimento,Banco do passageiro com aquecimento,Banco do motorista com ajuste elétrico,Trava multilock,Alerta de tráfego traseiro cruzado,Saídas de ar-condicionado na segunda fileira,Toca fitas,Ar-condicionado digital,Teto panorâmico,Veículo alienado,Farol de milha,Kit gnv,Apoio de cabeça para passageiros da segunda fileira,Ar condicionado digital de 3 zonas,Airbags de joelho,Banco do passageiro com ajuste elétrico,Caçamba de fibra,Estepe temporário,Barras longitudinais no teto,Cluster digital,Regulagem de altura do facho dos faróis,Certificado,Faróis com ajuste de altura,Ar-condicionado digital de 2 zonas,Faróis de xenônio,Câmera 360º,Capa de banco,Lanternas traseiras de led,Faróis com projetor,Ancoragem de cadeiras infantis,Apoio de braço no banco traseiro,Monitoramento de pressão dos pneus,Park assist,Faróis de led matrix,Apple carplay sem fio,Calha de chuva,Alças de segurança no teto,Freio a disco dianteiro,Model year
1210,Hyundai,HB20,1.0 Unique (Flex),55900,Salvador - BA,Flex,52000,Manual,Cinza,Hatch,Sim,Sim,Sim,Sim,1.0,80 (E) / 75 (G),10.2 (E) / 9.4 (G),161 (E) / 158 (G),14.6 (E),8.5 (E) / 12.5 (G),9.9 (E) / 14.1 (G),Dianteira,Elétrica,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco ventilados,Tambor ,1470.0,1680.0,3920.0,990.0,50.0,2500.0,300.0,5.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2019
1211,Renault,Kwid,Zen 1.0 12v SCe (Flex),46900,Salvador - BA,Flex,76000,Manual,Branco,Hatch,Não,Sim,Sim,Sim,1.0,70 (E) / 66 (G),10.0 (E) / 9.6 (G),156 (E) / 152 (G),14.7 (E),10.3 (E) / 14.9 (G),10.8 (E) / 15.6 (G),Dianteira,Elétrica,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco ventilados,Tambor ,1474.0,1579.0,3680.0,779.0,38.0,2423.0,290.0,5.0,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2019
1212,Fiat,Argo,1.0 (Flex),66900,Salvador - BA,Flex,46,Manual,Prata,Hatch,Sim,Sim,Sim,Sim,1.0,77 (E) / 72 (G),10.9 (E) / 10.4 (G),162 (E) / 157 (G),13.4 (E),9.8 (E) / 14.1 (G),11 (E) / 15.8 (G),Dianteira,Elétrica,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidais","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidais",Discos ventilados,Tambor,1503.0,1724.0,3998.0,1077.0,48.0,2521.0,300.0,5.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2023
1213,Fiat,Strada,Freedom 1.3 CD (Flex),95900,Salvador - BA,Flex,56000,Manual,Cinza,Picapes,Não,Sim,Sim,Sim,1.3 flex,98 (G) / 107 (E),13.2 (G) / 13.7 (E),N/C,- (G),N/C,N/C,Não,Elétrica,Não,Não,Dois freios Ã  disco com dois discos ventilados,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2022
1214,Ford,Ka Sedan,SE Plus 1.0 (Flex),49990,Salvador - BA,Flex,50990,Manual,Cinza,Sedan,Sim,Sim,Sim,Sim,1.0,85 (E) / 80 (G),10.70702 (E) / 10.197162 (G),N/C,14.8 (E),9.2 (E) / 13.4 (G),15.5 (E),dianteira,Não,"Suspensão tipo McPherson, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,Não,1525.0,1774.0,3941.0,1045.0,51.0,2490.0,445.0,5.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2020
1215,Volkswagen,T-Cross,1.0 200 TSI Comfortline (Aut) (Flex),104900,Salvador - BA,Flex,22910,Automática,Preto,SUV,Sim,Sim,Sim,Não,200 TSI 1.0,128 (E) / 116 (G),20.394323 (E) / 20.394323 (G),184 (E) / 179 (G),10.4 (E) / 10.9 (G),N/C,N/C,dianteira,Elétrica,Não,Não,Disco ventilado,Não,1568.0,1760.0,4199.0,1250.0,52.0,2651.0,420.0,5.0,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2021
1216,Ford,Fiesta Hatch,1.6 (Flex),0,Lauro de Freitas - BA,Flex,69308,Manual,Vermelho,Hatch,Sim,Não,Sim,Sim,1.6,111 (E) / 105 (G),15.805601 (E) / 14.8878565 (G),N/C,- (E) / 11.7 (G),N/C,N/C,dianteira,Não,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,Não,1497.0,1765.0,3930.0,1104.0,54.0,2488.0,305.0,5.0,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2015
1217,Chevrolet,Onix Plus,1.0 LT (Flex),59900,Salvador - BA,Flex,202417,Manual,Branco,Sedan,Não,Sim,Sim,Sim,1.0,116 (F),16.8 (F),N/C,- (F),12 (F),15.7 (F),Dianteira,Não,Não,Não,Não,Não,1470.0,1730.0,4474.0,Não,44.0,2600.0,469.0,5.0,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2020
1218,Ford,New Fiesta Hatch,New Fiesta S 1.5 16V,39900,Salvador - BA,Flex,102000,Manual,Vermelho,Hatch,Sim,Sim,Sim,Sim,1.5,111 (E) / 107 (G),14.989828 (E) / 14.785885 (G),180 (E) / 180 (G),12.2 (E),7.6 (E) / 10.7 (G),13.4 (E),dianteira,Não,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,Não,1464.0,1722.0,3969.0,1108.0,51.0,2489.0,281.0,5.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2015
1219,Chevrolet,Tracker,LT 1.4 Turbo 4x2 (Aut) (Flex),75600,Salvador - BA,Flex,63000,Automática,Cinza,SUV,Sim,Sim,Sim,Sim,1.4,153 (E) / 150 (G),24.5 (E) / 24 (G),N/C,- (E),N/C,N/C,dianteira,Não,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Dois freios à disco com dois discos ventilados.,Não,1678.0,1776.0,4258.0,1372.0,53.0,2555.0,306.0,5.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2017
1220,Peugeot,2008,Griffe 1.6 16V (Aut) (Flex),59700,Salvador - BA,Flex,90000,Automática,Marrom,SUV,Sim,Sim,Sim,Sim,1.6,122 (E) / 115 (G),16.3 (E) / 15.5 (G),177 (E) / 171 (G),11.9 (E),6.8 (E) / 9.4 (G),11 (E),dianteira,Não,"Suspensão tipo McPherson e dianteira com barra estabilizadora, roda tipo independente e molas helicoidal.","Suspensão tipo eixo de torção, roda tipo semi-independente e molas helicoidal.",Quatro freios à disco com dois discos ventilados.,Não,1583.0,1739.0,4159.0,1086.0,55.0,Não,355.0,5.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2017
1221,Volkswagen,Gol,1.0 12v (Flex),47900,Salvador - BA,Flex,60000,Manual,Cinza,Hatch,Sim,Não,Sim,Sim,1.0,84 (E) / 75 (G),10.401105 (E) / 9.6873045 (G),167 (E) / 168 (G),13.1 (E),9.1 (E) / 13.3 (G),10.1 (E) / 14.4 (G),dianteira,Não,Não,Não,Dois freios à disco com dois discos ventilados,Não,1474.0,1893.0,3892.0,976.0,55.0,2467.0,285.0,5.0,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,2020
